商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
クラシック オブ アイラ (10L樽),,https://www.saketry.com/103120.html,スコットランド,アイラ,エイジング・バレル,スコッチモルト・セールス,58,10000,,,
ハイランド・クラシック (10L樽),,https://www.saketry.com/103237.html,スコットランド,ハイランド,エイジング・バレル,スコッチモルト・セールス,,10000,,,
クラシック オブ アイラ 58% 700mlスコッチモルトセールス,,https://www.saketry.com/105095.html,スコットランド,アイラ,,スコッチモルト・セールス,58,700,,,
タリバーディン 1991 19年 46％ザ・モルトマン,,https://www.saketry.com/110066.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,46,700,タリバーディン蒸留所,1991,19
燻酒 アイラ シングルモルト 50% 700ml燻酒,,https://www.saketry.com/110371.html,スコットランド,アイラ,燻酒,スコッチモルト・セールス,50,700,,,
ミズナラウッドリザーブ 46%イチローズモルト,,https://www.saketry.com/110408.html,日本,秩父,イチローズモルト,ベンチャー・ウイスキー,46,700,,,
イチローズモルトワインウッドリザーブ 46% 700mlイチローズモルト,,https://www.saketry.com/110409.html,日本,秩父,イチローズモルト,ベンチャー・ウイスキー,46,700,,,
アラン ポートカスク・フィニッシュ 50%,"香り：ベイクドアップル、スパイス、ビターオレンジ。
味わい：バニラ、シトラス、ドライフルーツ、ナッツ、チョコレート。",https://www.saketry.com/110484.html,スコットランド,アイランズ,,Whisk-e Limited,50,700,,,
ティーリング シングルモルト 46% 700mlティーリング,"香り：　メロン、イチジク、トフィーとレモン。
味わい：　ドライドフルーツ、シトラス、バニラ、スパイスとクローブ。
フィニッシュ：ドライタンニン、甘さが長く感じる。",https://www.saketry.com/110503.html,アイルランド,,ティーリング,ティーリングウイスキー社,46,700,ティーリング蒸留所,,
アードレア　2009　5年　50.4%リキッドサン,,https://www.saketry.com/110540.html,スコットランド,ハイランド,リキッドサン,,50.4,700,,2009,5
コーヴァル バーボン 47% 750mlコーヴァル,,https://www.saketry.com/110545.html,アメリカ,シカゴ,コーヴァル,コーヴァル,47,750,,,
コーヴァル フォーグレーン 47% 750mlコーヴァル,,https://www.saketry.com/110546.html,アメリカ,シカゴ,コーヴァル,コーヴァル,47,750,,,
コーヴァル　ミレット　40%,,https://www.saketry.com/110547.html,アメリカ,シカゴ,コーヴァル,コーヴァル,40,750,,,
コーヴァル　ライ　40%,,https://www.saketry.com/110548.html,アメリカ,シカゴ,コーヴァル,,40,750,,,
アムルット　シングルモルト　ミニチュア　46%アムルット・ディスティラリー,,https://www.saketry.com/110574.html,インド,バンガロール,アムルット,,46,50,アムルット蒸溜所,,
アムルット　フュージョン　シングルモルト　ミニチュア　50%アムルット・ディスティラリー,,https://www.saketry.com/110575.html,インド,バンガロール,アムルット,,50,50,アムルット蒸溜所,,
アムルット　ピーテッド　シングルモルト　ミニチュア　46%アムルット・ディスティラリー,,https://www.saketry.com/110576.html,インド,バンガロール,アムルット,,46,50,アムルット蒸溜所,,
トマーティン　クアトロ　46%　（750ml×4本）,,https://www.saketry.com/110588.html,スコットランド,ハイランド,トマーティン,,46,750,,,
ディーンストン　2006　8年　シェリーフィニッシュ　56.5%カスク＆シスル,,https://www.saketry.com/110614.html,スコットランド,ハイランド,カスク＆シスル,ザ・ハイランド＆アイランズ・スコッチウイスキー,56.5,700,ディーンストン蒸留所,2006,8
ウシュクベ・リザーブ　43%トゥエンティオークス,,https://www.saketry.com/110624.html,スコットランド,,ウシュクベ,,43,700,,,
ウルフバーン ノースランド 46% 700mlウルフバーン,,https://www.saketry.com/110708.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
キルホーマン　サナイグ　46%,,https://www.saketry.com/110740.html,スコットランド,アイラ,,,46,700,キルホーマン蒸溜所,,
トマーティン 12年 43% 700mlトマーティン,,https://www.saketry.com/110810.html,スコットランド,ハイランド,,,43,700,,,
ウルフバーン オーロラ 46% 700mlウルフバーン,,https://www.saketry.com/110833.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
アラン ソーテルヌ・カスク・フィニッシュ 50%,香り： 蜂蜜、柑橘、アプリコット、メロン。,https://www.saketry.com/110890.html,スコットランド,アイランズ,ワインカスクシリーズ,,50,700,アイル オブ アラン蒸溜所,,
アラン　マクリー・ムーア　46%,,https://www.saketry.com/110891.html,スコットランド,アイランズ,,,46,700,,,
アラン　マクリー・ムーア　カスクストレングス　58.2%,,https://www.saketry.com/110892.html,スコットランド,アイランズ,,,58.2,700,,,
トマーティン　1995　21年　オロロソ・フィニッシュ　46%,,https://www.saketry.com/110896.html,スコットランド,ハイランド,,,46,700,,,
トマーティン　ク・ボカン　2005　11年　リミテッド・エディション　46%,,https://www.saketry.com/110897.html,スコットランド,ハイランド,,,46,700,,,
トマーティン　カスクストレングス　57.5%,,https://www.saketry.com/110974.html,スコットランド,ハイランド,,,57.5,700,,,
トマーティン　18年　46%,,https://www.saketry.com/110975.html,スコットランド,ハイランド,,,43,700,,,
ブレンデッド モルト スコッチ ウイスキー キメラ Cask ref:CH1-2016 46% 700mlブラックアダー,"香り：甘いシェリーの味わい、バニラ、アプリコットと完熟のバナナ、ほんのりとタバコの香りとピートの香り。これらの香りがカラメルのように渾然一体となってグラスからが立ちのぼる。加水により、レザーのような香りが出る。
味わい：香りと同様、甘みが感じられるとともに、やわらかなピートの味わいが広がる。加水すると、はじめに感じる甘味の後に、レザーやウッディーさとともにほのかなミルクチョコレートが感じられる。",https://www.saketry.com/110995.html,スコットランド,,,ブラックアダー,46,700,,,
