商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数,tokens,tokens_cleaned
アラン ポートカスク・フィニッシュ 50%,"香り：ベイクドアップル、スパイス、ビターオレンジ。
味わい：バニラ、シトラス、ドライフルーツ、ナッツ、チョコレート。",https://www.saketry.com/110484.html,スコットランド,アイランズ,,Whisk-e Limited,50,700.0,,,,香り ： ベイクドアップル 、 スパイス 、 ビターオレンジ 。 味わい ： バニラ 、 シトラス 、 ドライ フルーツ 、 ナッツ 、 チョコレート 。,ベイクドアップル スパイス ビターオレンジ バニラ シトラス ドライ フルーツ ナッツ チョコレート
ティーリング シングルモルト 46% 700mlティーリング,"香り：　メロン、イチジク、トフィーとレモン。
味わい：　ドライドフルーツ、シトラス、バニラ、スパイスとクローブ。
フィニッシュ：ドライタンニン、甘さが長く感じる。",https://www.saketry.com/110503.html,アイルランド,,ティーリング,ティーリングウイスキー社,46,700.0,ティーリング蒸留所,,,香り ： 　 メロン 、 イチジク 、 トフィー と レモン 。 味わい ： 　 ドライドフルーツ 、 シトラス 、 バニラ 、 スパイス と クローブ 。 フィニッシュ ： ドライ タンニン 、 甘 さ が 長く 感じる 。,メロン イチジク トフィー レモン ドライドフルーツ シトラス バニラ スパイス クローブ ドライ タンニン 長く 感じる
アラン ソーテルヌ・カスク・フィニッシュ 50%,香り： 蜂蜜、柑橘、アプリコット、メロン。,https://www.saketry.com/110890.html,スコットランド,アイランズ,ワインカスクシリーズ,,50,700.0,アイル オブ アラン蒸溜所,,,香り ： 蜂蜜 、 柑橘 、 アプリコット 、 メロン 。,蜂蜜 柑橘 アプリコット メロン
ブレンデッド モルト スコッチ ウイスキー キメラ Cask ref:CH1-2016 46% 700mlブラックアダー,"香り：甘いシェリーの味わい、バニラ、アプリコットと完熟のバナナ、ほんのりとタバコの香りとピートの香り。これらの香りがカラメルのように渾然一体となってグラスからが立ちのぼる。加水により、レザーのような香りが出る。
味わい：香りと同様、甘みが感じられるとともに、やわらかなピートの味わいが広がる。加水すると、はじめに感じる甘味の後に、レザーやウッディーさとともにほのかなミルクチョコレートが感じられる。",https://www.saketry.com/110995.html,スコットランド,,,ブラックアダー,46,700.0,,,,香り ： 甘い シェリー の 味わい 、 バニラ 、 アプリコット と 完熟 の バナナ 、 ほんのり と タバコ の 香り と ピート の 香り 。 これら の 香り が カラメル の よう に 渾然一体 と なっ て グラス から が 立ちのぼる 。 加水 により 、 レザー の よう な 香り が 出る 。 味わい ： 香り と 同様 、 甘み が 感じ られる とともに 、 やわらか な ピート の 味わい が 広がる 。 加水 する と 、 はじめ に 感じる 甘味 の 後 に 、 レザー や ウッディー さ とともに ほのか な ミルク チョコレート が 感じ られる 。,甘い シェリー バニラ アプリコット 完熟 バナナ ほんのり タバコ ピート これら カラメル よう 渾然一体 なっ グラス から 立ちのぼる 加水 により レザー よう 出る 同様 甘み られる とともに やわらか ピート 広がる 加水 はじめ 感じる 甘味 レザー ウッディー とともに ミルク チョコレート られる
ピートリーク エンバース EMB3 59%ブラックアダー,"香り：スモーキーでピーティ。カリカリのベーコンのハチミツがけ。ハム、革。
味わい：濃いハチミツのような、なめらかな甘さ。ホワイトペッパーのような刺激の後、ピーティな味わいが広がる。
フィニッシュ：柔らかな甘みと燻したような香りが長く続く。",https://www.saketry.com/111007.html,スコットランド,アイラ,ピートリーク,ブラックアダー,59,700.0,,,,香り ： スモーキー で ピーティ 。 カリカリ の ベーコン の ハチミツ がけ 。 ハム 、 革 。 味わい ： 濃い ハチミツ の よう な 、 なめらか な 甘 さ 。 ホワイトペッパー の よう な 刺激 の 後 、 ピーティ な 味わい が 広がる 。 フィニッシュ ： 柔らか な 甘み と 燻し た よう な 香り が 長く 続く 。,スモーキー ピーティ カリカリ ベーコン ハチミツ がけ ハム 濃い ハチミツ よう なめらか ホワイトペッパー よう 刺激 ピーティ 広がる 柔らか 甘み 燻し よう 長く 続く
トマーティン ファイブ ヴァーチューズ ウォーター 46% 700mlトマーティン,香り：完熟した果実に、チョコレートハニーコムが感じられます。味わい：リッチなトフィーとマジパンに、ブラッドオレンジのマーマレードが加わります。フィニッシュ：温かく、オイリーさがゆっくりと広がります。,https://www.saketry.com/111219.html,スコットランド,ハイランド,,Tomatin distillery,46,700.0,,,,香り ： 完熟 し た 果実 に 、 チョコレートハニーコム が 感じ られ ます 。 味わい ： リッチ な トフィー と マジパン に 、 ブラッド オレンジ の マーマレード が 加わり ます 。 フィニッシュ ： 温かく 、 オイリー さ が ゆっくり と 広がり ます 。,完熟 果実 チョコレートハニーコム られ ます リッチ トフィー マジパン ブラッド オレンジ マーマレード 加わり ます 温かく オイリー ゆっくり 広がり ます
グレンアラヒー 12年 46% 700ml,"香り：ヘザーハニー、シナモン、バタースコッチ、ソフトレーズン、モカ。
味わい：オレンジ、ヘザーハニー、プラム、モカ、ダークチョコレート、イチジク、デーツ、シナモン。",https://www.saketry.com/111351.html,スコットランド,スペイサイド,グレンアラヒー,GlenAllachie Distillery,46,700.0,,,12,香り ： ヘザーハニー 、 シナモン 、 バター スコッチ 、 ソフト レーズン 、 モカ 。 味わい ： オレンジ 、 ヘザーハニー 、 プラム 、 モカ 、 ダーク チョコレート 、 イチジク 、 デーツ 、 シナモン 。,ヘザーハニー シナモン バター スコッチ ソフト レーズン モカ オレンジ ヘザーハニー プラム モカ ダーク チョコレート イチジク デーツ シナモン
アラン 22年 バッチ8 48.4%ブティックウイスキー,香り：バニラ、バナナ、トーストしたオーク、スパイス、杉 味：ミルクチョコレート、桃、パイナップル、麦の甘み、バタースコッチ、コーヒー豆,https://www.saketry.com/111506.html,スコットランド,アイラ,ブティックウイスキー,,48.4,500.0,,,,香り ： バニラ 、 バナナ 、 トースト し た オーク 、 スパイス 、 杉 味 ： ミルク チョコレート 、 桃 、 パイナップル 、 麦 の 甘み 、 バター スコッチ 、 コーヒー 豆,バニラ バナナ トースト オーク スパイス ミルク チョコレート パイナップル 甘み バター スコッチ コーヒー
フェッターケアン 21年 バッチ3 48.6%ブティックウイスキー,香り：焼きリンゴ、プラム、ラズベリージャム、ジンジャーブレッド 味：シトラス、グーズベリー、トフィー、バニラ,https://www.saketry.com/111507.html,スコットランド,ハイランド,ブティックウイスキー,,48.6,500.0,,,,香り ： 焼きリンゴ 、 プラム 、 ラズベリー ジャム 、 ジンジャーブレッド 味 ： シトラス 、 グーズベリー 、 トフィー 、 バニラ,焼きリンゴ プラム ラズベリー ジャム ジンジャーブレッド シトラス グーズベリー トフィー バニラ
ブルックラディ 13年 バッチ11 47.6%ブティックウイスキー,香り：パイナップル、リンゴ、松 味：マンゴー、オレンジ、洋梨、リコリス、潮、スパイス,https://www.saketry.com/111508.html,スコットランド,アイラ,ブティックウイスキー,,47.6,500.0,,,,香り ： パイナップル 、 リンゴ 、 松 味 ： マンゴー 、 オレンジ 、 洋梨 、 リコリス 、 潮 、 スパイス,パイナップル リンゴ マンゴー オレンジ 洋梨 リコリス スパイス
ティーリング シングルポットスティル 46％ 700ml,"香り：　ハチミツ、グレープフルーツとシトラス。
味わい：　ライチ、ペッパー、ローステッドピーチとベイクドビスケット。
フィニッシュ：　ドライで、スパイス、ローステッドアーモンドとメープルシュガー。",https://www.saketry.com/111513.html,アイルランド,,ティーリング,ティーリングウイスキー社,46,700.0,ティーリング蒸留所,,,香り ： 　 ハチミツ 、 グレープフルーツ と シトラス 。 味わい ： 　 ライチ 、 ペッパー 、 ローステッドピーチ と ベイクドビスケット 。 フィニッシュ ： 　 ドライ で 、 スパイス 、 ローステッドアーモンド と メープルシュガー 。,ハチミツ グレープフルーツ シトラス ライチ ペッパー ローステッドピーチ ベイクドビスケット ドライ スパイス ローステッドアーモンド メープルシュガー
コンパスボックス オーク・クロス 43％コンパスボックス,"香り：ハーブ、花のような芳香性、ミックススパイス
味わい：バニラのようななソフトさ、タンジェジン、レモン、リンゴ
フィニッシュ：甘さがありながらスパイシーなフィニッシュ",https://www.saketry.com/111514.html,スコットランド,,オーククロス,コンパスボックス,43,700.0,,,,香り ： ハーブ 、 花 の よう な 芳香 性 、 ミックス スパイス 味わい ： バニラ の よう な な ソフト さ 、 タンジェジン 、 レモン 、 リンゴ フィニッシュ ： 甘 さ が あり ながら スパイシー な フィニッシュ,ハーブ よう 芳香 ミックス スパイス バニラ よう ソフト タンジェジン レモン リンゴ あり ながら スパイシー
コンパスボックス ザ・ストーリー・オブ・ザ・スパニアード 43%  バッチナンバー 2018-Bコンパスボックス,"香り：赤ワインのような香り、シトラス、スパイス、洋ナシ
味わい：バニラパンナコッタ、ベリー、チェリー
フィニッシュ：長く豊潤な甘さ、スパイシーな余韻",https://www.saketry.com/111515.html,スコットランド,,ザ・ストーリー・オブ・ザ・スパニアード,コンパスボックス,43,700.0,,,,香り ： 赤ワイン の よう な 香り 、 シトラス 、 スパイス 、 洋 ナシ 味わい ： バニラパンナコッタ 、 ベリー 、 チェリー フィニッシュ ： 長く 豊潤 な 甘 さ 、 スパイシー な 余韻,赤ワイン よう シトラス スパイス ナシ バニラパンナコッタ ベリー チェリー 長く 豊潤 スパイシー 余韻
アラン 18年 46%アラン,"香り：シロップ漬けのアプリコット、ダークフルーツ、トーストしたオーク
味わい：キャラメルゼしたオレンジ、焼いた桃、バニラ、チョコレート、ブラウンシュガーの甘味。",https://www.saketry.com/111566.html,スコットランド,アイランズ,アラン,,46,700.0,アイル オブ アラン蒸溜所,,18,香り ： シロップ 漬け の アプリコット 、 ダーク フルーツ 、 トースト し た オーク 味わい ： キャラメルゼ し た オレンジ 、 焼い た 桃 、 バニラ 、 チョコレート 、 ブラウン シュガー の 甘味 。,シロップ 漬け アプリコット ダーク フルーツ トースト オーク キャラメルゼ オレンジ 焼い バニラ チョコレート ブラウン シュガー 甘味
シークレットオークニー 2009 10年 57.5%クーパーズチョイス,"香り：水気の多いフルーツやスパイスと軽いヘザーのスモークの融合
味わい：さらなるハチミツのようなヘザースモークを伴った美味なスパイス、レーズン、オーク
フィニッシュ：長引く甘美なスパイスと消えゆくスモーク",https://www.saketry.com/111611.html,スコットランド,アイランズ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,57.5,700.0,,2009,44,香り ： 水気 の 多い フルーツ や スパイス と 軽い ヘザー の スモーク の 融合 味わい ： さらなる ハチミツ の よう な ヘザースモーク を 伴っ た 美味 な スパイス 、 レーズン 、 オーク フィニッシュ ： 長引く 甘美 な スパイス と 消え ゆく スモーク,水気 多い フルーツ スパイス 軽い ヘザー スモーク 融合 さらなる ハチミツ よう ヘザースモーク 伴っ 美味 スパイス レーズン オーク 長引く 甘美 スパイス 消え ゆく スモーク
ウィリアムソン 2005 14年 マスカットフィニッシュ 54.0%ザ・クーパーズ・チョイス,"香り：防腐剤、アロマティックなエッジを伴った海藻、ピートの燃えカス
味わい：甘やかなワインのノートと重厚なスモークやタールの融合。モルトの甘味とシトラス感が重厚なピートとスモークに出会う
フィニッシュ：甘くフルーティーなスモーク、心地よい余韻、傑出している",https://www.saketry.com/111612.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54,700.0,,2005,28,香り ： 防腐 剤 、 アロマティック な エッジ を 伴っ た 海藻 、 ピート の 燃え カス 味わい ： 甘 や か な ワイン の ノート と 重厚 な スモーク や タール の 融合 。 モルト の 甘味 と シトラス 感 が 重厚 な ピート と スモーク に 出会う フィニッシュ ： 甘く フルーティー な スモーク 、 心地よい 余韻 、 傑出 し て いる,防腐 アロマティック エッジ 伴っ 海藻 ピート 燃え カス ワイン 重厚 スモーク タール 融合 モルト 甘味 シトラス 重厚 ピート スモーク 出会う 甘く フルーティー スモーク 心地よい 余韻 傑出
グレンアラヒー 2011 8年 モスカテルフィニッシュ 59%クーパーズチョイス,"香り：フローラルなアロマを伴った。フルーティーなシロップ、トフィー、キャンディーオレンジ
味わい：ドライフルーツ、食欲をそそるスパイス、ジューシーでスウィートな大麦のノート
フィニッシュ：心地よい長さ。長引くスパイスとフルーツ",https://www.saketry.com/111613.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,59,700.0,グレンアラヒー蒸留所,2011,21,香り ： フローラル な アロマ を 伴っ た 。 フルーティー な シロップ 、 トフィー 、 キャンディー オレンジ 味わい ： ドライ フルーツ 、 食欲 を そそる スパイス 、 ジューシー で スウィート な 大麦 の ノート フィニッシュ ： 心地よい 長 さ 。 長引く スパイス と フルーツ,フローラル 伴っ フルーティー シロップ トフィー キャンディー オレンジ ドライ フルーツ 食欲 そそる スパイス ジューシー スウィート 大麦 心地よい 長引く スパイス フルーツ
グレンロセス 2007 12年 カディラック フィニッシュ 56.3%クーパーズチョイス,"香り：ドライフルーツにした洋梨、柑橘、リンゴの皮、メロン
味わい：マジパンのノート、更なる甘美なフルーツ、スパイシーなバニラ
フィニッシュ：食欲をそそる甘やかなスパイス、中程度の余韻",https://www.saketry.com/111614.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,56.3,700.0,グレンロセス蒸留所,2007,19,香り ： ドライ フルーツ に し た 洋梨 、 柑橘 、 リンゴ の 皮 、 メロン 味わい ： マジパン の ノート 、 更 なる 甘美 な フルーツ 、 スパイシー な バニラ フィニッシュ ： 食欲 を そそる 甘 や か な スパイス 、 中 程度 の 余韻,ドライ フルーツ 洋梨 柑橘 リンゴ メロン マジパン なる 甘美 フルーツ スパイシー バニラ 食欲 そそる スパイス 程度 余韻
ストラスクライド 1993 26年 52.5%クーパーズチョイス,"香り：スイートバニラとバタースコッチ、ココナッツ、鉛筆の削りカス
味わい：優しいスパイスと果実感を伴った良質で甘美なバーボン、枯れた松葉を伴ったココナッツバースト、焼きマシュマロ、さらなる甘やかなバニラ
フィニッシュ：ありえないほど古い穀物、しっかりしていて後を引く",https://www.saketry.com/111615.html,スコットランド,ローランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700.0,ストラスクライド蒸留所,1993,22,香り ： スイートバニラ と バター スコッチ 、 ココナッツ 、 鉛筆 の 削り カス 味わい ： 優しい スパイス と 果実 感 を 伴っ た 良質 で 甘美 な バー ボン 、 枯れ た 松葉 を 伴っ た ココナッツ バースト 、 焼き マシュマロ 、 さらなる 甘 や か な バニラ フィニッシュ ： あり え ない ほど 古い 穀物 、 しっかり し て い て 後 を 引く,スイートバニラ バター スコッチ ココナッツ 鉛筆 削り カス 優しい スパイス 果実 伴っ 良質 甘美 バー ボン 枯れ 松葉 伴っ ココナッツ バースト 焼き マシュマロ さらなる バニラ あり ない ほど 古い 穀物 しっかり 引く
